"(236, 195, 174)","(225, 142, 161)"
"(238, 227, 225)","(229, 172, 188)"
"(208, 199, 190)","(186, 129, 142)"
"(218, 182, 184)","(209, 135, 150)"
"(213, 186, 172)","(241, 156, 176)"
"(228, 224, 211)","(216, 148, 168)"
"(232, 194, 164)","(207, 122, 113)"
"(209, 197, 193)","(173, 104, 139)"
"(208, 157, 150)","(164, 79, 94)"
"(223, 205, 207)","(189, 140, 151)"
"(223, 182, 176)","(213, 142, 167)"
"(231, 213, 204)","(199, 130, 148)"
"(215, 159, 128)","(200, 93, 78)"
"(213, 194, 189)","(195, 123, 136)"
"(197, 149, 131)","(193, 96, 99)"
"(202, 155, 135)","(193, 111, 107)"
"(209, 187, 188)","(207, 128, 160)"
"(206, 173, 171)","(156, 79, 93)"
"(234, 207, 212)","(221, 154, 172)"
"(203, 161, 152)","(126, 29, 37)"
"(222, 168, 143)","(203, 129, 117)"
"(220, 161, 131)","(218, 120, 113)"
"(241, 212, 200)","(232, 177, 183)"
"(245, 218, 209)","(230, 160, 177)"
"(179, 155, 149)","(196, 135, 150)"
"(224, 192, 185)","(189, 119, 115)"
"(221, 187, 169)","(189, 118, 116)"
"(204, 159, 147)","(202, 133, 145)"
"(220, 195, 188)","(205, 150, 162)"
"(221, 181, 149)","(221, 161, 166)"
"(213, 183, 168)","(209, 123, 132)"
"(237, 204, 188)","(211, 130, 124)"
"(229, 214, 209)","(216, 144, 160)"
"(234, 200, 172)","(226, 159, 145)"
"(212, 174, 152)","(199, 135, 132)"
"(229, 203, 187)","(216, 162, 157)"
"(211, 184, 186)","(200, 151, 164)"
"(231, 190, 171)","(228, 157, 168)"
"(200, 170, 170)","(204, 129, 172)"
"(181, 84, 74)","(137, 36, 37)"
"(202, 175, 169)","(189, 93, 106)"
"(101, 89, 92)","(118, 108, 109)"
"(245, 215, 194)","(226, 142, 136)"
"(211, 174, 165)","(218, 166, 176)"
"(214, 176, 179)","(198, 108, 133)"
"(217, 185, 187)","(224, 164, 183)"
"(210, 179, 172)","(177, 107, 130)"
"(218, 196, 197)","(206, 156, 169)"
"(208, 156, 138)","(167, 101, 91)"
"(239, 202, 200)","(226, 119, 170)"
"(233, 193, 191)","(216, 121, 132)"
"(243, 203, 190)","(193, 118, 114)"
"(195, 171, 176)","(172, 123, 149)"
"(246, 184, 162)","(243, 125, 101)"
"(236, 219, 219)","(234, 177, 205)"
"(225, 179, 160)","(218, 137, 149)"
"(218, 174, 146)","(201, 96, 105)"
"(233, 215, 217)","(220, 153, 174)"
"(225, 180, 175)","(229, 114, 133)"
"(171, 153, 164)","(155, 80, 122)"
"(232, 194, 172)","(209, 145, 147)"
"(177, 124, 101)","(151, 71, 67)"
"(233, 219, 213)","(230, 159, 183)"
"(195, 154, 143)","(191, 115, 118)"
"(200, 175, 169)","(178, 130, 145)"
"(233, 201, 190)","(204, 149, 156)"
"(222, 200, 202)","(209, 129, 153)"
"(240, 219, 215)","(215, 139, 154)"
"(180, 151, 164)","(181, 142, 175)"
"(208, 165, 150)","(178, 93, 114)"
"(227, 200, 185)","(220, 152, 165)"
"(211, 184, 176)","(201, 129, 146)"
"(187, 148, 133)","(187, 113, 133)"
"(227, 199, 200)","(214, 141, 157)"
"(241, 209, 191)","(219, 153, 152)"
"(220, 194, 193)","(217, 147, 185)"
"(207, 179, 179)","(195, 121, 135)"
"(234, 178, 142)","(218, 116, 91)"
"(213, 172, 155)","(195, 104, 115)"
"(217, 194, 195)","(205, 130, 156)"
"(230, 202, 197)","(215, 114, 128)"
"(217, 178, 163)","(185, 121, 141)"
"(227, 188, 184)","(217, 147, 160)"
"(230, 207, 199)","(222, 154, 148)"
"(197, 160, 151)","(185, 121, 130)"
"(209, 166, 138)","(173, 121, 107)"
"(233, 208, 210)","(223, 157, 171)"
"(214, 180, 158)","(208, 128, 135)"
"(233, 216, 212)","(225, 174, 188)"
"(214, 180, 181)","(239, 154, 210)"
"(207, 185, 181)","(213, 142, 181)"
"(226, 210, 207)","(199, 131, 141)"
"(230, 179, 163)","(229, 145, 140)"
"(224, 183, 167)","(219, 150, 162)"
"(213, 175, 174)","(191, 113, 133)"
"(219, 189, 181)","(204, 151, 165)"
"(226, 206, 209)","(208, 131, 153)"
"(240, 210, 211)","(206, 146, 166)"
"(208, 177, 170)","(196, 149, 160)"
"(205, 175, 169)","(175, 33, 43)"
"(236, 215, 180)","(229, 159, 139)"
"(211, 152, 123)","(184, 84, 79)"
"(211, 186, 184)","(201, 133, 145)"
"(192, 170, 162)","(133, 73, 82)"
"(223, 195, 193)","(210, 130, 157)"
"(243, 207, 191)","(227, 128, 147)"
"(215, 187, 183)","(211, 135, 146)"
"(220, 195, 180)","(216, 163, 164)"
"(232, 213, 208)","(201, 111, 123)"
"(238, 198, 183)","(224, 137, 135)"
"(215, 167, 153)","(167, 67, 92)"
"(220, 156, 150)","(188, 107, 112)"
"(230, 194, 187)","(203, 112, 112)"
"(222, 218, 217)","(188, 35, 75)"
"(245, 195, 177)","(218, 104, 111)"
"(213, 186, 169)","(189, 100, 111)"
"(210, 180, 174)","(192, 146, 150)"
"(194, 148, 145)","(153, 51, 86)"
"(230, 195, 186)","(232, 152, 185)"
"(206, 169, 169)","(176, 94, 103)"
"(219, 186, 175)","(200, 113, 118)"
"(226, 198, 194)","(220, 148, 171)"
"(198, 153, 141)","(191, 118, 123)"
"(218, 188, 175)","(221, 149, 183)"
"(225, 184, 171)","(197, 112, 131)"
"(224, 200, 204)","(220, 151, 173)"
"(207, 181, 186)","(185, 127, 165)"
"(230, 199, 184)","(221, 150, 154)"
"(239, 217, 213)","(218, 154, 163)"
"(185, 159, 146)","(202, 138, 140)"
"(204, 166, 162)","(177, 101, 117)"
"(251, 214, 207)","(237, 165, 166)"
"(217, 199, 193)","(190, 128, 134)"
"(218, 202, 198)","(208, 117, 131)"
"(220, 182, 167)","(223, 126, 141)"
"(229, 210, 203)","(199, 108, 112)"
"(197, 152, 113)","(182, 102, 101)"
"(237, 203, 193)","(211, 135, 140)"
"(231, 192, 189)","(223, 140, 155)"
"(227, 186, 181)","(240, 194, 210)"
"(249, 217, 201)","(210, 98, 114)"
"(203, 172, 153)","(187, 144, 146)"
"(178, 133, 132)","(189, 132, 158)"
"(223, 164, 134)","(207, 103, 113)"
"(230, 195, 184)","(193, 87, 108)"
"(243, 210, 195)","(232, 143, 160)"
"(238, 167, 133)","(186, 93, 76)"
"(166, 137, 136)","(141, 101, 105)"
"(234, 209, 208)","(220, 178, 193)"
"(235, 206, 172)","(219, 144, 154)"
"(214, 177, 168)","(201, 143, 164)"
"(195, 159, 142)","(183, 96, 97)"
"(235, 208, 192)","(204, 138, 122)"
"(232, 197, 185)","(173, 76, 94)"
"(182, 147, 131)","(180, 130, 123)"
"(183, 140, 128)","(178, 128, 135)"
"(221, 184, 159)","(208, 104, 102)"
"(171, 134, 124)","(122, 60, 55)"
"(220, 196, 189)","(235, 137, 155)"
"(243, 190, 173)","(222, 115, 119)"
"(217, 194, 197)","(197, 154, 166)"
"(232, 205, 201)","(186, 121, 127)"
"(222, 179, 169)","(224, 128, 122)"
"(249, 219, 210)","(236, 147, 194)"
"(219, 191, 190)","(200, 126, 155)"
"(208, 160, 101)","(187, 103, 77)"
"(221, 177, 166)","(210, 147, 151)"
"(220, 201, 199)","(213, 149, 179)"
"(219, 192, 179)","(167, 114, 107)"
"(160, 127, 117)","(135, 78, 84)"
"(226, 199, 208)","(182, 103, 120)"
"(212, 182, 168)","(190, 112, 111)"
"(212, 178, 178)","(214, 120, 147)"
"(227, 208, 208)","(199, 147, 160)"
"(198, 151, 125)","(178, 81, 65)"
"(215, 190, 184)","(191, 119, 127)"
"(221, 184, 166)","(211, 130, 147)"
"(209, 175, 161)","(217, 144, 160)"
"(184, 165, 165)","(180, 130, 154)"
"(238, 220, 225)","(225, 161, 183)"
"(216, 188, 186)","(198, 122, 137)"
"(222, 174, 135)","(227, 111, 119)"
"(226, 185, 180)","(222, 163, 168)"
"(232, 203, 199)","(230, 175, 195)"
"(211, 155, 133)","(215, 146, 142)"
"(201, 169, 170)","(189, 134, 170)"
"(229, 203, 197)","(217, 137, 155)"
"(225, 197, 183)","(209, 107, 139)"
"(172, 156, 151)","(201, 119, 163)"
"(223, 169, 140)","(229, 106, 78)"
"(212, 174, 160)","(213, 155, 165)"
"(159, 153, 149)","(123, 122, 128)"
"(216, 165, 140)","(200, 122, 130)"
"(236, 214, 216)","(223, 162, 188)"
"(238, 205, 204)","(216, 139, 165)"
"(185, 147, 135)","(162, 78, 80)"
"(224, 192, 175)","(216, 131, 135)"
"(197, 166, 166)","(226, 165, 170)"
"(224, 196, 203)","(184, 108, 122)"
"(220, 189, 183)","(189, 130, 145)"
"(203, 178, 175)","(189, 138, 148)"
"(220, 196, 197)","(206, 142, 152)"
"(190, 163, 152)","(177, 118, 131)"
"(213, 187, 188)","(212, 167, 176)"
"(203, 178, 183)","(216, 183, 202)"
"(226, 174, 140)","(190, 106, 100)"
"(202, 165, 147)","(163, 110, 99)"
"(219, 181, 154)","(202, 125, 108)"
"(219, 194, 197)","(199, 148, 172)"
"(223, 191, 193)","(230, 155, 171)"
"(215, 180, 150)","(228, 167, 158)"
"(217, 203, 216)","(199, 133, 152)"
"(221, 199, 194)","(216, 157, 164)"
"(226, 201, 198)","(212, 155, 173)"
"(234, 209, 196)","(229, 162, 185)"
"(239, 213, 202)","(213, 140, 147)"
"(232, 176, 156)","(232, 135, 127)"
"(227, 176, 153)","(197, 111, 99)"
"(236, 204, 203)","(232, 162, 179)"
"(165, 141, 129)","(150, 65, 74)"
"(243, 206, 186)","(233, 142, 142)"
"(232, 212, 209)","(216, 171, 195)"
"(243, 200, 169)","(236, 149, 130)"
"(224, 175, 141)","(180, 107, 90)"
"(223, 201, 196)","(188, 116, 122)"
"(183, 150, 150)","(172, 115, 137)"
"(126, 92, 82)","(174, 125, 136)"
"(229, 194, 187)","(214, 88, 96)"
"(226, 218, 209)","(234, 167, 196)"
"(231, 181, 166)","(239, 125, 139)"
"(222, 187, 188)","(219, 103, 153)"
"(244, 198, 157)","(188, 77, 62)"
"(240, 215, 206)","(222, 148, 141)"
"(207, 167, 150)","(186, 107, 108)"
"(224, 202, 205)","(204, 118, 138)"
"(223, 188, 168)","(211, 119, 156)"
"(162, 135, 133)","(193, 167, 185)"
"(204, 169, 151)","(202, 151, 158)"
"(223, 197, 203)","(201, 131, 151)"
"(247, 198, 188)","(242, 172, 167)"
"(233, 208, 186)","(217, 146, 142)"
"(207, 167, 150)","(172, 95, 101)"
"(238, 193, 180)","(235, 104, 121)"
"(234, 210, 214)","(195, 141, 146)"
"(228, 187, 163)","(231, 136, 133)"
"(241, 198, 170)","(238, 143, 126)"
"(187, 137, 104)","(146, 72, 68)"
"(226, 177, 135)","(210, 108, 118)"
"(135, 113, 111)","(157, 104, 104)"
"(211, 182, 177)","(206, 135, 149)"
"(200, 167, 157)","(169, 83, 89)"
"(205, 183, 177)","(204, 147, 164)"
"(208, 172, 173)","(179, 112, 132)"
"(228, 188, 172)","(207, 103, 109)"
"(246, 225, 229)","(222, 155, 168)"
"(227, 213, 217)","(223, 141, 140)"
"(226, 203, 204)","(192, 118, 138)"
"(217, 197, 196)","(206, 159, 174)"
"(215, 192, 190)","(195, 145, 153)"
"(207, 177, 165)","(194, 116, 132)"
"(217, 188, 175)","(185, 129, 126)"
"(242, 217, 203)","(238, 171, 184)"
"(191, 163, 155)","(187, 121, 130)"
"(236, 175, 165)","(203, 114, 116)"
"(124, 88, 79)","(123, 84, 77)"
"(241, 223, 218)","(240, 178, 189)"
"(220, 184, 170)","(201, 116, 132)"
"(217, 198, 190)","(215, 115, 132)"
"(162, 112, 90)","(139, 72, 66)"
"(239, 204, 186)","(235, 157, 181)"
"(242, 191, 167)","(225, 119, 105)"
"(209, 149, 133)","(204, 89, 87)"
"(214, 188, 188)","(218, 143, 158)"
"(216, 197, 190)","(204, 153, 161)"
"(205, 167, 153)","(190, 129, 130)"
"(97, 44, 38)","(79, 30, 32)"
"(242, 209, 205)","(222, 134, 131)"
"(237, 208, 202)","(227, 127, 161)"
"(215, 171, 160)","(199, 109, 132)"
"(183, 162, 154)","(181, 115, 121)"
"(227, 200, 195)","(221, 162, 176)"
"(238, 219, 217)","(225, 166, 179)"
"(217, 190, 189)","(222, 162, 185)"
"(229, 208, 212)","(212, 154, 166)"
"(228, 187, 177)","(214, 81, 93)"
"(203, 163, 140)","(190, 97, 115)"
"(216, 171, 161)","(215, 114, 128)"
"(210, 181, 180)","(219, 156, 187)"
"(236, 189, 181)","(234, 149, 162)"
"(238, 217, 218)","(221, 159, 175)"
"(232, 185, 172)","(229, 94, 123)"
"(218, 192, 188)","(198, 123, 149)"
"(211, 132, 84)","(196, 84, 57)"
"(207, 175, 170)","(193, 145, 156)"
"(216, 183, 166)","(218, 162, 175)"
"(232, 182, 143)","(207, 131, 121)"
"(189, 130, 103)","(137, 64, 56)"
"(244, 204, 214)","(235, 185, 198)"
"(239, 179, 138)","(193, 92, 73)"
"(233, 207, 199)","(227, 147, 162)"
"(181, 99, 58)","(87, 47, 27)"
"(206, 150, 115)","(184, 131, 99)"
"(219, 195, 195)","(188, 141, 140)"
"(210, 181, 175)","(189, 112, 120)"
"(219, 159, 124)","(209, 112, 89)"
"(234, 209, 189)","(211, 130, 124)"
"(205, 151, 118)","(187, 103, 105)"
"(212, 188, 188)","(216, 145, 192)"
"(234, 190, 174)","(228, 140, 135)"
"(208, 176, 174)","(185, 114, 137)"
"(213, 141, 101)","(185, 91, 68)"
"(242, 218, 206)","(229, 128, 107)"
"(236, 199, 193)","(221, 118, 130)"
"(203, 163, 150)","(222, 133, 149)"
"(230, 208, 207)","(204, 124, 145)"
"(221, 199, 205)","(192, 130, 147)"
"(216, 176, 151)","(159, 50, 42)"
"(222, 188, 184)","(197, 129, 140)"
"(216, 190, 190)","(208, 124, 141)"
"(234, 203, 195)","(225, 170, 188)"
"(216, 159, 136)","(190, 80, 93)"
"(229, 191, 168)","(215, 162, 159)"
"(215, 185, 184)","(193, 110, 139)"
"(219, 198, 198)","(218, 142, 173)"
"(218, 203, 196)","(197, 149, 150)"
"(222, 198, 201)","(185, 135, 149)"
"(218, 191, 196)","(201, 162, 180)"
"(242, 225, 215)","(235, 169, 181)"
"(215, 181, 168)","(181, 109, 112)"
"(218, 189, 174)","(192, 124, 130)"
"(221, 181, 169)","(217, 125, 151)"
"(218, 197, 189)","(222, 146, 186)"
"(224, 195, 200)","(223, 178, 201)"
"(212, 196, 180)","(191, 99, 88)"
"(247, 222, 211)","(235, 166, 158)"
"(194, 179, 168)","(207, 137, 143)"
"(223, 192, 177)","(172, 109, 111)"
"(211, 180, 168)","(200, 104, 122)"
"(250, 195, 175)","(215, 91, 89)"
"(234, 204, 188)","(206, 134, 142)"
"(226, 206, 207)","(185, 137, 147)"
"(220, 198, 191)","(200, 115, 125)"
"(221, 206, 220)","(222, 139, 208)"
"(228, 188, 160)","(223, 109, 118)"
"(225, 196, 197)","(215, 141, 154)"
"(220, 194, 177)","(191, 137, 130)"
"(239, 218, 209)","(206, 149, 147)"
"(173, 122, 91)","(162, 105, 97)"
"(198, 174, 151)","(191, 106, 126)"
"(216, 184, 187)","(232, 189, 208)"
"(167, 115, 94)","(172, 99, 93)"
"(215, 186, 179)","(216, 141, 177)"
"(215, 192, 166)","(209, 153, 156)"
"(213, 159, 140)","(194, 100, 116)"
"(202, 166, 151)","(214, 131, 140)"
