,RF,GF,BF,color
0,240,194,171,15
1,250,211,190,15
2,193,162,143,2
3,187,156,144,10
4,237,193,180,1
5,209,180,178,9
6,205,178,161,0
7,240,206,197,11
8,226,207,206,4
9,213,186,168,5
10,206,174,156,0
11,193,131,119,0
12,222,209,220,0
13,228,180,156,4
14,237,210,212,5
15,209,160,132,17
16,228,205,196,4
17,210,178,161,17
18,179,128,128,10
19,232,205,179,11
20,219,194,187,4
21,237,202,183,10
22,214,174,165,4
23,193,173,170,7
24,225,202,196,4
25,212,185,181,5
26,229,184,148,11
27,200,149,134,10
28,214,173,153,0
29,235,181,143,15
30,210,187,193,4
31,206,178,176,9
32,210,169,160,11
33,248,202,192,11
34,189,132,126,14
35,206,181,175,10
36,222,190,173,1
37,239,218,213,4
38,232,206,200,4
39,223,186,178,10
40,186,155,143,5
41,221,188,176,4
42,232,213,212,0
43,192,147,133,5
44,223,191,173,10
45,243,220,216,9
46,223,162,153,5
47,247,227,220,11
48,178,144,128,9
49,241,198,167,4
50,226,199,201,4
51,245,180,134,15
52,197,146,140,16
53,244,219,199,1
54,236,206,208,4
55,213,158,134,10
56,216,201,204,4
57,229,204,210,0
58,208,179,176,10
59,234,205,209,10
60,205,167,162,0
61,237,221,212,15
62,192,126,102,0
63,221,194,190,0
64,236,208,197,1
65,238,214,204,1
66,233,197,185,1
67,241,220,230,13
68,252,233,234,4
69,243,220,213,10
70,201,150,123,0
71,218,203,194,10
72,170,122,94,0
73,230,212,210,0
74,169,114,94,17
75,213,173,151,4
76,208,165,133,14
77,198,162,136,14
78,217,180,158,4
79,208,169,162,4
80,200,177,176,1
81,229,207,177,11
82,225,188,170,0
83,224,185,129,11
84,242,226,228,4
85,194,160,148,5
86,212,181,177,4
87,232,203,187,10
88,239,232,226,2
89,209,173,149,14
90,200,190,196,17
91,217,169,155,11
92,203,168,167,17
93,228,211,224,9
94,221,155,126,5
95,227,178,161,4
96,210,185,184,5
97,228,202,199,0
98,210,179,164,10
99,197,162,142,0
100,213,171,149,11
101,205,181,178,5
102,180,125,102,0
103,215,190,177,5
104,248,215,192,11
105,203,140,93,16
106,202,148,136,6
107,235,187,175,3
108,221,195,184,0
109,228,182,173,11
110,237,207,201,17
111,190,137,105,10
112,242,205,194,4
113,234,170,158,14
114,219,196,186,0
115,247,221,211,4
116,228,191,171,11
117,212,189,192,5
118,231,205,211,0
119,233,199,182,0
120,233,202,181,1
121,219,191,190,9
122,212,178,171,10
123,223,195,194,11
124,217,189,180,4
125,227,192,189,14
126,189,128,108,4
127,215,196,198,14
128,228,213,215,5
129,209,178,164,10
130,219,185,180,5
131,227,220,218,10
132,207,157,100,0
133,219,187,184,0
134,240,206,190,3
135,239,230,223,2
136,199,171,173,5
