"(240.33333333333334, 194.66666666666666, 171.33333333333334)","(234.33333333333334, 145.83333333333334, 139.0)"
"(250.33333333333334, 211.0, 190.33333333333334)","(233.5, 126.5, 114.0)"
"(193.66666666666666, 162.66666666666666, 143.0)","(195.5, 114.0, 105.33333333333333)"
"(187.33333333333334, 156.66666666666666, 144.0)","(175.33333333333334, 117.5, 120.66666666666667)"
"(237.66666666666666, 193.0, 180.66666666666666)","(232.0, 116.5, 133.33333333333334)"
"(209.0, 180.0, 178.66666666666666)","(196.16666666666666, 137.33333333333334, 143.16666666666666)"
"(205.33333333333334, 178.33333333333334, 161.66666666666666)","(186.33333333333334, 108.5, 122.33333333333333)"
"(240.33333333333334, 206.0, 197.0)","(224.66666666666666, 132.5, 146.33333333333334)"
"(226.33333333333334, 207.33333333333334, 206.33333333333334)","(226.83333333333334, 160.66666666666666, 186.66666666666666)"
"(213.66666666666666, 186.0, 168.66666666666666)","(192.0, 119.66666666666667, 131.5)"
"(206.66666666666666, 174.66666666666666, 156.0)","(171.83333333333334, 89.0, 91.33333333333333)"
"(193.0, 131.66666666666666, 119.0)","(166.83333333333334, 81.83333333333333, 77.16666666666667)"
"(222.33333333333334, 209.66666666666666, 220.66666666666666)","(221.83333333333334, 173.66666666666666, 201.0)"
"(228.66666666666666, 180.66666666666666, 156.33333333333334)","(223.0, 138.5, 142.33333333333334)"
"(237.0, 210.0, 212.0)","(211.16666666666666, 141.83333333333334, 158.5)"
"(209.33333333333334, 160.66666666666666, 132.0)","(187.66666666666666, 117.0, 119.5)"
"(228.0, 205.66666666666666, 196.33333333333334)","(219.66666666666666, 168.33333333333334, 170.83333333333334)"
"(210.0, 178.0, 161.0)","(175.33333333333334, 126.83333333333333, 119.5)"
"(179.33333333333334, 128.0, 128.0)","(169.5, 79.33333333333333, 94.5)"
"(232.66666666666666, 205.0, 179.66666666666666)","(216.66666666666666, 122.83333333333333, 124.16666666666667)"
"(219.33333333333334, 194.66666666666666, 187.33333333333334)","(214.5, 158.33333333333334, 167.16666666666666)"
"(237.33333333333334, 202.66666666666666, 183.0)","(220.0, 145.5, 127.83333333333333)"
"(214.0, 174.0, 165.33333333333334)","(211.33333333333334, 119.33333333333333, 116.0)"
"(193.33333333333334, 173.0, 170.66666666666666)","(157.0, 87.16666666666667, 84.66666666666667)"
"(225.33333333333334, 202.0, 196.66666666666666)","(216.66666666666666, 158.66666666666666, 170.5)"
"(212.0, 185.66666666666666, 181.0)","(204.33333333333334, 136.33333333333334, 163.66666666666666)"
"(229.0, 184.33333333333334, 148.33333333333334)","(211.33333333333334, 124.16666666666667, 104.16666666666667)"
"(200.0, 149.33333333333334, 134.33333333333334)","(186.5, 98.16666666666667, 96.66666666666667)"
"(214.33333333333334, 173.66666666666666, 153.66666666666666)","(204.83333333333334, 125.0, 138.33333333333334)"
"(235.66666666666666, 181.33333333333334, 143.33333333333334)","(227.83333333333334, 126.33333333333333, 108.5)"
"(210.0, 187.66666666666666, 193.33333333333334)","(215.83333333333334, 162.16666666666666, 184.5)"
"(206.0, 178.33333333333334, 176.33333333333334)","(197.66666666666666, 122.33333333333333, 137.0)"
